epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.127,1.17829,1.2888,1.02463,0,0,0,0,0,0,0,0.0033284,0.0033284,0.0033284
2,204.002,1.11792,0.81193,0.97869,0,0,0,0,0,0,0,0.00659578,0.00659578,0.00659578
3,299.541,1.12883,0.78805,0.98597,0,0,0,0,0,0,0,0.00979717,0.00979717,0.00979717
4,394.315,1.11117,0.73389,0.98191,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,488.073,1.06596,0.66563,0.96989,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,582.286,1.04117,0.62517,0.96203,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,676.653,1.02438,0.5977,0.95785,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,770.191,1.00761,0.57774,0.95239,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,863.99,0.98974,0.56099,0.94844,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,959.204,0.98405,0.55186,0.94767,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1053.65,0.97343,0.53922,0.94306,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1148.21,0.96337,0.53457,0.94021,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1242.95,0.95984,0.52774,0.93957,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1337.28,0.95379,0.52372,0.93952,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1431.46,0.9454,0.51649,0.93645,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1527.36,0.9401,0.51139,0.93391,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1621.31,0.93858,0.50911,0.9334,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1715.55,0.9346,0.505,0.93215,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,1810.63,0.92689,0.49986,0.92931,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,1904.91,0.92449,0.49817,0.92843,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,1999.5,0.91774,0.49359,0.92733,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2094.88,0.91153,0.48851,0.92721,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2188.67,0.91112,0.4898,0.9253,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2282.51,0.90586,0.48577,0.92421,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2377.21,0.90162,0.48321,0.92357,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2471.26,0.90087,0.48045,0.92222,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2565.17,0.89935,0.47988,0.92196,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,2659.26,0.89822,0.47696,0.92274,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,2753.99,0.89263,0.47512,0.91966,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,2848.75,0.88787,0.47209,0.91994,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,2942.35,0.88701,0.4704,0.91962,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,3036.5,0.88472,0.46891,0.91892,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,3130.82,0.88175,0.46597,0.91795,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,3225.55,0.87816,0.46429,0.91679,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,3319.94,0.87738,0.46447,0.91648,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,3414.17,0.87548,0.46241,0.9156,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,3508.53,0.87602,0.46189,0.91533,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,3602.54,0.87401,0.45954,0.91512,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,3696.61,0.87077,0.45878,0.91403,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,3790.37,0.86486,0.45549,0.91332,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,3884.22,0.86366,0.4528,0.91295,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,3978.69,0.86122,0.45316,0.91345,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,4073.1,0.86702,0.45328,0.91327,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,4167.28,0.86205,0.45214,0.91291,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,4261.23,0.85825,0.45,0.91022,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,4355.34,0.85805,0.44979,0.91082,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,4449.23,0.85434,0.4475,0.90859,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,4544.07,0.85139,0.44602,0.90854,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,4638.41,0.85083,0.44532,0.90839,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,4732.47,0.84717,0.44309,0.90811,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,4826.87,0.84889,0.44339,0.90689,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,4920.82,0.84772,0.44203,0.9066,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,5015.51,0.84423,0.4403,0.9068,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,5109.76,0.84058,0.43826,0.9058,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,5204.14,0.84241,0.43912,0.90534,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,5298.21,0.8423,0.43814,0.90549,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,5393.2,0.84093,0.43712,0.90575,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,5487.29,0.83666,0.4351,0.90412,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,5581.5,0.83562,0.43478,0.90457,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,5675.14,0.83488,0.43209,0.90302,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,5769.16,0.83009,0.42932,0.90215,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,5863.73,0.83021,0.4303,0.90303,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,5958.09,0.82847,0.42814,0.9017,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,6052.32,0.82685,0.42669,0.90217,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,6146.62,0.8273,0.42549,0.90094,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,6239.68,0.82578,0.42627,0.90125,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,6334.57,0.82564,0.42444,0.90059,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,6428.58,0.81951,0.42199,0.89925,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,6522.86,0.81959,0.42208,0.89846,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,6616.84,0.81577,0.41887,0.89778,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,6711.01,0.81554,0.41788,0.89773,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,6805.01,0.81535,0.41876,0.89706,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,6899.36,0.8159,0.41687,0.89753,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,6994.07,0.80926,0.41549,0.89593,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,7087.33,0.81026,0.41565,0.89447,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,7181.97,0.81025,0.41463,0.89574,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,7275.65,0.8071,0.41237,0.89555,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,7369.95,0.80803,0.41317,0.89577,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,7463.55,0.80565,0.41209,0.89418,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,7558.92,0.80211,0.40968,0.89426,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,7653.12,0.80049,0.40737,0.89244,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,7746.8,0.79874,0.40641,0.89375,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,7841.39,0.7942,0.40492,0.89045,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,7936.33,0.79526,0.40496,0.89074,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,8030.96,0.7929,0.40365,0.8915,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,8125.85,0.79221,0.40264,0.8913,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,8219.83,0.79062,0.40166,0.88985,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,8313.96,0.78943,0.40177,0.89038,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,8408.76,0.78483,0.39851,0.88875,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,8502.65,0.78441,0.39662,0.8889,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,8597.33,0.74312,0.37288,0.87815,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,8690.64,0.73461,0.36858,0.87621,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,8783.43,0.73213,0.36682,0.87655,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,8877.22,0.72939,0.36584,0.8741,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,8971.11,0.72602,0.3622,0.87347,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,9064.07,0.72311,0.36032,0.87114,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
