epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9798,1.23092,1.0562,1.28662,0.84368,0.55467,0.61896,0.45551,0.99108,0.84213,1.23272,0.000218913,0.000218913,0.000218913
2,20.4979,1.12143,0.89519,1.20029,0.88296,0.58202,0.67251,0.48499,0.97326,0.7813,1.19946,0.000438334,0.000438334,0.000438334
3,29.0294,1.08176,0.8459,1.17391,0.90077,0.58713,0.67008,0.49045,0.96048,0.78471,1.18231,0.00065482,0.00065482,0.00065482
4,37.393,1.05246,0.81302,1.16001,0.87833,0.61292,0.69556,0.50477,0.94003,0.7269,1.16817,0.000653793,0.000653793,0.000653793
5,45.8328,1.05596,0.8033,1.16093,0.88538,0.61922,0.73457,0.51852,0.9431,0.72867,1.16217,0.000649391,0.000649391,0.000649391
6,54.1209,1.03527,0.79163,1.15307,0.90459,0.61211,0.77134,0.53674,0.92232,0.71033,1.16156,0.000644989,0.000644989,0.000644989
7,62.6151,1.01379,0.73824,1.11911,0.92024,0.6048,0.77638,0.54629,0.90848,0.68202,1.13918,0.000640587,0.000640587,0.000640587
8,70.7196,1.01896,0.74261,1.13482,0.69941,0.72294,0.77219,0.54585,0.90763,0.69665,1.13787,0.000636185,0.000636185,0.000636185
9,79.0215,1.01451,0.7475,1.1337,0.70247,0.74572,0.77183,0.54245,0.9053,0.68024,1.14539,0.000631782,0.000631782,0.000631782
10,87.2379,0.97694,0.69399,1.09848,0.7582,0.76465,0.81198,0.57496,0.89543,0.66054,1.1344,0.00062738,0.00062738,0.00062738
11,96.8405,0.98512,0.70814,1.10682,0.76501,0.78012,0.82586,0.58211,0.87715,0.65191,1.11619,0.000622978,0.000622978,0.000622978
12,105.194,0.96029,0.68583,1.09233,0.85047,0.7627,0.85102,0.59358,0.8659,0.64839,1.12221,0.000618576,0.000618576,0.000618576
13,113.336,0.96033,0.6817,1.08505,0.7728,0.73884,0.79843,0.57503,0.87203,0.65747,1.1249,0.000614174,0.000614174,0.000614174
14,121.579,0.98101,0.69627,1.10969,0.80891,0.77865,0.84524,0.6003,0.87825,0.63508,1.12147,0.000609771,0.000609771,0.000609771
15,129.777,0.9664,0.6902,1.09632,0.81205,0.77538,0.83487,0.57676,0.89433,0.64518,1.13042,0.000605369,0.000605369,0.000605369
16,137.979,0.96371,0.68088,1.09873,0.84533,0.77258,0.8595,0.60456,0.86513,0.6341,1.1117,0.000600967,0.000600967,0.000600967
17,146.283,0.93481,0.6529,1.07336,0.80941,0.76741,0.8492,0.58232,0.87832,0.63993,1.12912,0.000596565,0.000596565,0.000596565
18,154.471,0.95941,0.67268,1.09414,0.77637,0.82448,0.85077,0.60356,0.87233,0.61768,1.11173,0.000592163,0.000592163,0.000592163
19,162.754,0.93401,0.65027,1.08126,0.81889,0.80351,0.85729,0.6143,0.86515,0.62242,1.11919,0.00058776,0.00058776,0.00058776
20,171.677,0.94134,0.6593,1.09336,0.84593,0.79815,0.8695,0.62073,0.89374,0.63435,1.12265,0.000583358,0.000583358,0.000583358
21,180.019,0.9266,0.65134,1.07566,0.8192,0.8023,0.85231,0.61461,0.86594,0.61258,1.10241,0.000578956,0.000578956,0.000578956
22,189.365,0.92095,0.6481,1.06426,0.84649,0.80029,0.86146,0.61458,0.86176,0.61722,1.10412,0.000574554,0.000574554,0.000574554
23,197.691,0.92713,0.64902,1.07634,0.86719,0.77772,0.87978,0.62281,0.88313,0.63854,1.10761,0.000570152,0.000570152,0.000570152
24,206.114,0.92618,0.64136,1.07576,0.91286,0.76558,0.87756,0.64147,0.86351,0.61018,1.1065,0.000565749,0.000565749,0.000565749
25,214.373,0.91745,0.63381,1.0684,0.87124,0.80123,0.88179,0.63872,0.89435,0.62026,1.12444,0.000561347,0.000561347,0.000561347
26,222.521,0.93505,0.64577,1.08619,0.8533,0.82415,0.88341,0.63741,0.87417,0.61659,1.11142,0.000556945,0.000556945,0.000556945
27,230.834,0.90768,0.63,1.06836,0.88187,0.79486,0.88024,0.63082,0.86021,0.62507,1.11221,0.000552543,0.000552543,0.000552543
28,239.288,0.91943,0.63591,1.06791,0.87471,0.81418,0.88988,0.64522,0.87099,0.61031,1.11033,0.000548141,0.000548141,0.000548141
29,248.109,0.904,0.61737,1.05971,0.88512,0.82309,0.88902,0.64727,0.87136,0.6025,1.11302,0.000543738,0.000543738,0.000543738
30,260.124,0.91477,0.63071,1.06624,0.86879,0.80332,0.87376,0.6323,0.86366,0.61884,1.11673,0.000539336,0.000539336,0.000539336
31,273.56,0.89305,0.61729,1.05813,0.87449,0.83778,0.88756,0.63653,0.88335,0.61423,1.1081,0.000534934,0.000534934,0.000534934
32,284.829,0.8942,0.60835,1.05393,0.8806,0.84099,0.90044,0.65745,0.85633,0.59679,1.11116,0.000530532,0.000530532,0.000530532
33,296.89,0.88847,0.61364,1.05309,0.89013,0.80156,0.8847,0.64273,0.87029,0.61491,1.10976,0.00052613,0.00052613,0.00052613
34,308.653,0.8925,0.61827,1.06205,0.87596,0.82964,0.89637,0.63768,0.89382,0.61521,1.12474,0.000521727,0.000521727,0.000521727
35,320.617,0.88146,0.59799,1.0345,0.88927,0.81726,0.8789,0.63567,0.87678,0.61966,1.11257,0.000517325,0.000517325,0.000517325
36,332.591,0.87919,0.60363,1.0504,0.90242,0.80457,0.89427,0.657,0.85783,0.59061,1.10832,0.000512923,0.000512923,0.000512923
37,344.255,0.8758,0.59794,1.03524,0.8972,0.7867,0.8873,0.64248,0.87555,0.5948,1.10191,0.000508521,0.000508521,0.000508521
38,356.297,0.88137,0.60428,1.05116,0.87807,0.81272,0.8805,0.64067,0.88159,0.60092,1.11411,0.000504119,0.000504119,0.000504119
39,368.706,0.88368,0.60757,1.05051,0.89471,0.79172,0.8884,0.63498,0.88768,0.61172,1.11932,0.000499716,0.000499716,0.000499716
40,381.158,0.86279,0.58374,1.0364,0.8951,0.81685,0.8842,0.63572,0.87188,0.59612,1.10907,0.000495314,0.000495314,0.000495314
41,393.387,0.87073,0.59371,1.04549,0.91187,0.80447,0.88737,0.65837,0.8459,0.57303,1.0978,0.000490912,0.000490912,0.000490912
42,405.199,0.86395,0.58363,1.03933,0.86933,0.81492,0.88478,0.63506,0.87881,0.59975,1.10894,0.00048651,0.00048651,0.00048651
43,417.013,0.85329,0.58136,1.03129,0.85728,0.81659,0.87976,0.6405,0.86281,0.59718,1.11008,0.000482108,0.000482108,0.000482108
44,429.514,0.8527,0.57745,1.03189,0.8785,0.81263,0.88416,0.64703,0.84695,0.59512,1.09738,0.000477705,0.000477705,0.000477705
45,441.227,0.86098,0.58123,1.03425,0.87277,0.81883,0.88164,0.64262,0.85029,0.58525,1.10104,0.000473303,0.000473303,0.000473303
46,452.956,0.8557,0.57598,1.03566,0.8731,0.8469,0.8941,0.64757,0.87394,0.58692,1.11096,0.000468901,0.000468901,0.000468901
47,465.267,0.86304,0.57583,1.03577,0.88741,0.82502,0.89754,0.65737,0.84578,0.57094,1.09937,0.000464499,0.000464499,0.000464499
48,477.14,0.8524,0.57352,1.02139,0.89325,0.82241,0.8918,0.65538,0.85429,0.5718,1.1061,0.000460097,0.000460097,0.000460097
49,489.078,0.8453,0.57561,1.0313,0.91636,0.78911,0.8878,0.64929,0.85718,0.58681,1.10926,0.000455694,0.000455694,0.000455694
50,501.236,0.85247,0.57823,1.03552,0.91019,0.80729,0.89697,0.66128,0.86386,0.57818,1.11313,0.000451292,0.000451292,0.000451292
51,513.456,0.84186,0.56748,1.02717,0.88369,0.81777,0.88712,0.64749,0.87486,0.58416,1.11528,0.00044689,0.00044689,0.00044689
52,525.332,0.83732,0.55959,1.02398,0.87342,0.84334,0.89769,0.66201,0.85872,0.58236,1.10303,0.000442488,0.000442488,0.000442488
53,537.139,0.84511,0.57552,1.03588,0.8708,0.83844,0.89684,0.65988,0.86258,0.5772,1.11245,0.000438086,0.000438086,0.000438086
54,548.764,0.84696,0.5746,1.0385,0.88063,0.82981,0.88582,0.64664,0.86116,0.5765,1.11112,0.000433683,0.000433683,0.000433683
55,561.055,0.8421,0.5589,1.01854,0.87191,0.84099,0.89873,0.66065,0.87475,0.59418,1.11591,0.000429281,0.000429281,0.000429281
56,575.754,0.82838,0.55846,1.02097,0.90817,0.80584,0.90023,0.66883,0.86101,0.60273,1.10714,0.000424879,0.000424879,0.000424879
57,587.489,0.82787,0.55137,1.01505,0.87224,0.82394,0.8967,0.66555,0.84141,0.56841,1.10011,0.000420477,0.000420477,0.000420477
58,599.946,0.83121,0.55165,1.01812,0.8918,0.82975,0.89575,0.65569,0.86122,0.57867,1.11398,0.000416075,0.000416075,0.000416075
59,614.223,0.82093,0.55476,1.01585,0.88137,0.8391,0.89676,0.65705,0.86968,0.58632,1.11132,0.000411672,0.000411672,0.000411672
60,627.831,0.84346,0.56476,1.02987,0.86498,0.85942,0.88922,0.64692,0.85839,0.58577,1.10854,0.00040727,0.00040727,0.00040727
61,639.947,0.83512,0.55275,1.02338,0.86213,0.83327,0.89026,0.66389,0.85039,0.58472,1.09902,0.000402868,0.000402868,0.000402868
62,653.188,0.82119,0.55444,1.01775,0.89792,0.8075,0.89295,0.65857,0.85866,0.57278,1.10058,0.000398466,0.000398466,0.000398466
63,665.459,0.82148,0.54998,1.01694,0.88707,0.8154,0.88993,0.6601,0.85859,0.57298,1.10626,0.000394064,0.000394064,0.000394064
64,677.522,0.82226,0.54352,1.01274,0.87322,0.84627,0.89421,0.66467,0.86208,0.58101,1.10224,0.000389661,0.000389661,0.000389661
65,688.807,0.82638,0.54269,1.01446,0.8785,0.83303,0.89223,0.65829,0.85592,0.5806,1.09764,0.000385259,0.000385259,0.000385259
66,704.841,0.81166,0.54547,1.01516,0.89366,0.80433,0.88658,0.65372,0.86751,0.57963,1.11193,0.000380857,0.000380857,0.000380857
67,717.702,0.8105,0.53389,1.00832,0.88916,0.81814,0.89453,0.65658,0.85289,0.57726,1.10577,0.000376455,0.000376455,0.000376455
68,729.382,0.81539,0.54067,1.00984,0.88087,0.83852,0.89534,0.65635,0.85636,0.5801,1.10351,0.000372053,0.000372053,0.000372053
69,741.241,0.80625,0.54341,1.01306,0.8717,0.84182,0.89124,0.65856,0.8471,0.57318,1.09919,0.00036765,0.00036765,0.00036765
70,752.757,0.80644,0.53615,1.00853,0.89162,0.82273,0.88953,0.66177,0.84107,0.57898,1.10573,0.000363248,0.000363248,0.000363248
71,768.119,0.80867,0.5458,1.01487,0.87605,0.82902,0.89473,0.66298,0.84729,0.57823,1.10469,0.000358846,0.000358846,0.000358846
72,779.922,0.80607,0.53806,1.01701,0.87777,0.83889,0.89531,0.66198,0.85387,0.57422,1.10233,0.000354444,0.000354444,0.000354444
73,795.034,0.79646,0.54011,1.01038,0.88854,0.82423,0.8932,0.66054,0.85241,0.58046,1.10371,0.000350042,0.000350042,0.000350042
74,807.751,0.80637,0.53977,1.01181,0.85006,0.85434,0.90146,0.66835,0.86358,0.57609,1.1176,0.000345639,0.000345639,0.000345639
75,821.296,0.80983,0.53573,1.01069,0.89581,0.83423,0.89533,0.66885,0.85306,0.57273,1.11312,0.000341237,0.000341237,0.000341237
76,838.838,0.79516,0.52944,1.00392,0.85768,0.85501,0.89549,0.65701,0.86958,0.57546,1.11632,0.000336835,0.000336835,0.000336835
77,855.748,0.78591,0.52662,0.99615,0.90179,0.81373,0.89762,0.65868,0.87419,0.57805,1.11631,0.000332433,0.000332433,0.000332433
78,872.47,0.79673,0.52661,1.00153,0.88417,0.83872,0.88935,0.65295,0.86401,0.57553,1.11403,0.000328031,0.000328031,0.000328031
79,884.774,0.78028,0.51687,0.99136,0.88416,0.82083,0.88981,0.66349,0.86883,0.5733,1.12144,0.000323628,0.000323628,0.000323628
80,896.738,0.80144,0.52705,1.0037,0.91082,0.8269,0.90347,0.66638,0.85957,0.57505,1.11531,0.000319226,0.000319226,0.000319226
81,909.454,0.79852,0.5264,1.00716,0.86374,0.84194,0.89427,0.66826,0.85405,0.56924,1.10465,0.000314824,0.000314824,0.000314824
82,925.292,0.79776,0.52903,1.00546,0.87087,0.83757,0.89021,0.66102,0.84814,0.57502,1.10219,0.000310422,0.000310422,0.000310422
83,942.639,0.79047,0.52843,0.99817,0.8947,0.82586,0.8887,0.6589,0.86351,0.57567,1.11287,0.00030602,0.00030602,0.00030602
84,954.293,0.78038,0.51239,0.98456,0.88107,0.84711,0.89684,0.66886,0.84576,0.55885,1.10076,0.000301617,0.000301617,0.000301617
85,973.191,0.7829,0.51858,1.00185,0.87796,0.84119,0.89396,0.66398,0.84008,0.57047,1.09531,0.000297215,0.000297215,0.000297215
86,987.178,0.78043,0.5129,0.99326,0.85331,0.84547,0.88984,0.66153,0.85958,0.5666,1.11223,0.000292813,0.000292813,0.000292813
87,1000.08,0.7851,0.51546,0.99378,0.88092,0.84766,0.89828,0.66958,0.85822,0.57921,1.11268,0.000288411,0.000288411,0.000288411
88,1017.83,0.78178,0.51632,0.99702,0.90436,0.83572,0.89393,0.67233,0.8529,0.56801,1.10526,0.000284009,0.000284009,0.000284009
89,1032.18,0.7767,0.513,0.99274,0.8948,0.83679,0.8951,0.66579,0.846,0.56606,1.10316,0.000279606,0.000279606,0.000279606
90,1045.48,0.7672,0.51071,0.9854,0.87018,0.86476,0.8984,0.66345,0.86326,0.56987,1.10909,0.000275204,0.000275204,0.000275204
91,1060.85,0.7762,0.50702,0.98622,0.86167,0.88041,0.8997,0.67272,0.85644,0.58482,1.11067,0.000270802,0.000270802,0.000270802
92,1072.64,0.76629,0.50083,0.98772,0.88343,0.85002,0.89645,0.66757,0.8666,0.58206,1.12094,0.0002664,0.0002664,0.0002664
93,1086.8,0.76662,0.50773,0.98705,0.86781,0.86154,0.89949,0.66996,0.85134,0.58315,1.1052,0.000261998,0.000261998,0.000261998
94,1101.41,0.76973,0.51121,0.99069,0.85612,0.86225,0.9012,0.67402,0.84799,0.57341,1.1043,0.000257595,0.000257595,0.000257595
95,1118.91,0.76654,0.5101,0.99163,0.86898,0.85571,0.90106,0.66907,0.83997,0.55712,1.09984,0.000253193,0.000253193,0.000253193
96,1135.39,0.7581,0.50001,0.98303,0.87308,0.86247,0.89977,0.67219,0.83948,0.55904,1.09569,0.000248791,0.000248791,0.000248791
97,1150.99,0.76372,0.50321,0.99089,0.88331,0.83214,0.88801,0.66613,0.85774,0.56473,1.1105,0.000244389,0.000244389,0.000244389
98,1165.21,0.75924,0.50206,0.98763,0.85435,0.86445,0.88701,0.67064,0.84033,0.56488,1.10442,0.000239987,0.000239987,0.000239987
99,1186.68,0.77161,0.50502,0.98993,0.8898,0.83216,0.89102,0.66358,0.85479,0.56851,1.11152,0.000235584,0.000235584,0.000235584
100,1198.87,0.75605,0.49881,0.9754,0.86313,0.86157,0.90151,0.67248,0.85049,0.56389,1.10382,0.000231182,0.000231182,0.000231182
101,1211.09,0.76248,0.4978,0.98063,0.88145,0.85653,0.89703,0.66849,0.85774,0.56449,1.11172,0.00022678,0.00022678,0.00022678
102,1227.76,0.76593,0.50203,0.98891,0.84691,0.86317,0.8947,0.67226,0.84518,0.55973,1.10921,0.000222378,0.000222378,0.000222378
103,1242.24,0.76365,0.50021,0.98508,0.88777,0.83746,0.89617,0.67392,0.86468,0.56722,1.11595,0.000217976,0.000217976,0.000217976
104,1256.05,0.75751,0.49921,0.98169,0.89129,0.83782,0.89585,0.67711,0.86484,0.5666,1.11541,0.000213573,0.000213573,0.000213573
105,1267.54,0.75064,0.4954,0.98388,0.86801,0.83712,0.89249,0.66667,0.85108,0.56384,1.11426,0.000209171,0.000209171,0.000209171
106,1278.81,0.75978,0.49897,0.98956,0.8821,0.82731,0.89388,0.66946,0.84349,0.57278,1.10555,0.000204769,0.000204769,0.000204769
107,1295.41,0.75547,0.49893,0.97626,0.88944,0.82944,0.89378,0.6689,0.86142,0.56822,1.11339,0.000200367,0.000200367,0.000200367
108,1311.29,0.75083,0.4918,0.98155,0.87954,0.8443,0.88861,0.67254,0.86626,0.56434,1.12025,0.000195965,0.000195965,0.000195965
109,1326.34,0.75486,0.48934,0.97536,0.90188,0.82344,0.89062,0.67072,0.85777,0.56148,1.11319,0.000191562,0.000191562,0.000191562
110,1341.58,0.74598,0.49346,0.97756,0.86326,0.84114,0.88648,0.66407,0.85684,0.56757,1.11333,0.00018716,0.00018716,0.00018716
111,1355.89,0.74693,0.49398,0.97475,0.84761,0.86126,0.88758,0.67345,0.84679,0.56338,1.11169,0.000182758,0.000182758,0.000182758
112,1378.18,0.74433,0.48911,0.97778,0.87938,0.8348,0.88706,0.66699,0.85388,0.56103,1.11334,0.000178356,0.000178356,0.000178356
113,1389.78,0.73195,0.48447,0.97052,0.8968,0.82806,0.89242,0.67184,0.85379,0.56789,1.11583,0.000173954,0.000173954,0.000173954
114,1411.56,0.74272,0.48401,0.97119,0.88425,0.83557,0.88619,0.6686,0.84238,0.56393,1.10707,0.000169551,0.000169551,0.000169551
115,1429.63,0.74188,0.48902,0.98009,0.87377,0.84105,0.89288,0.66694,0.84579,0.56724,1.10559,0.000165149,0.000165149,0.000165149
116,1441.81,0.75141,0.49187,0.98632,0.87478,0.85548,0.89434,0.67621,0.84256,0.56051,1.10604,0.000160747,0.000160747,0.000160747
117,1455.66,0.75159,0.49496,0.99141,0.84567,0.86496,0.89058,0.67536,0.84546,0.55934,1.10991,0.000156345,0.000156345,0.000156345
118,1470.69,0.73762,0.48181,0.97724,0.86692,0.86556,0.89685,0.67619,0.84648,0.56475,1.11473,0.000151943,0.000151943,0.000151943
119,1487.61,0.73769,0.48787,0.97721,0.87016,0.8535,0.89753,0.67485,0.84822,0.56144,1.11592,0.00014754,0.00014754,0.00014754
120,1501.3,0.73217,0.4822,0.9771,0.87103,0.85815,0.8936,0.66991,0.85317,0.55447,1.11991,0.000143138,0.000143138,0.000143138
121,1523.9,0.72523,0.47881,0.96789,0.87388,0.84522,0.8896,0.66828,0.86448,0.56737,1.12086,0.000138736,0.000138736,0.000138736
122,1547.08,0.73342,0.47911,0.97033,0.85333,0.87673,0.90338,0.67609,0.84805,0.55807,1.11123,0.000134334,0.000134334,0.000134334
123,1559.76,0.73993,0.48347,0.97974,0.87427,0.84341,0.89237,0.67202,0.85143,0.56424,1.1129,0.000129932,0.000129932,0.000129932
124,1571.18,0.73554,0.4834,0.97308,0.8722,0.86474,0.89221,0.67318,0.84293,0.56103,1.10935,0.000125529,0.000125529,0.000125529
125,1587.67,0.72864,0.47928,0.96836,0.86478,0.85345,0.88345,0.66911,0.83612,0.5646,1.10653,0.000121127,0.000121127,0.000121127
126,1603.19,0.7269,0.47842,0.97219,0.86489,0.85209,0.88846,0.67267,0.84694,0.56309,1.11165,0.000116725,0.000116725,0.000116725
127,1617.38,0.7296,0.47832,0.97874,0.8652,0.85232,0.89417,0.67916,0.83886,0.55565,1.10723,0.000112323,0.000112323,0.000112323
128,1638.37,0.72,0.47586,0.97057,0.86549,0.8546,0.88872,0.67094,0.83672,0.55901,1.11048,0.000107921,0.000107921,0.000107921
129,1657.17,0.72766,0.47898,0.96778,0.88366,0.84184,0.88899,0.6701,0.8428,0.55986,1.11331,0.000103518,0.000103518,0.000103518
130,1668.7,0.73132,0.48276,0.97647,0.89056,0.82985,0.88459,0.67563,0.83579,0.55614,1.10779,9.91162e-05,9.91162e-05,9.91162e-05
131,1690.28,0.72364,0.47326,0.96153,0.87922,0.85508,0.89859,0.6795,0.83872,0.55339,1.10743,9.4714e-05,9.4714e-05,9.4714e-05
132,1708.45,0.722,0.47515,0.97151,0.87999,0.84625,0.89182,0.6758,0.84287,0.56208,1.10575,9.03118e-05,9.03118e-05,9.03118e-05
133,1729.4,0.7141,0.4722,0.96405,0.86531,0.86221,0.89054,0.6765,0.84154,0.55721,1.10879,8.59096e-05,8.59096e-05,8.59096e-05
134,1744.73,0.71723,0.47256,0.96076,0.86745,0.86995,0.8986,0.67606,0.84249,0.55917,1.11114,8.15074e-05,8.15074e-05,8.15074e-05
135,1762.45,0.724,0.46984,0.96481,0.86821,0.85218,0.89256,0.67126,0.84916,0.55829,1.10947,7.71052e-05,7.71052e-05,7.71052e-05
